stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
00001,Newmarket Bus Terminal At Eagle St,44.052395,-79.486992,64,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=NMKT,,
00005,Hillcrest Mall At Yonge St,43.855755,-79.433876,61,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=HLCR,,
00006,Yonge St At Langstaff Rd,43.831982,-79.428383,60,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=YLAN,,
00007,Yonge St At Hendon Ave,43.78178,-79.416237,05,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=FNCH,,
00008,Yonge St At Sheppard Ave,43.761597,-79.411194,05,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=SHEP,,
00011,York Mills Terminal At Yonge St,43.745079,-79.406464,05,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=YKML,,
00013,Finch Bus Terminal At Yonge St,43.782196,-79.41468,05,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=FNCH,,
00014,Yonge St At Langstaff Rd,43.832329,-79.428047,60,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=YLAN,,
00015,Yonge St At 9325 Yonge St,43.855179,-79.433319,61,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=HLCR,,
00019,Yorkdale GO Bus Terminal At Yorkdale Rd,43.725056,-79.449821,05,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=YKDL,,
00020,Hwy 401 At Keele St,43.72324,-79.481941,05,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=KEEL,,
00021,Hwy 400 At Hwy 9,44.027626,-79.596024,64,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=9400,,
00022,Keele St At Hwy 401,43.721676,-79.480827,05,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=KEEL,,
00025,Barrie St At Holland St,44.114689,-79.565094,65,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=BRAD,,
00026,Barrie St At Holland St,44.114864,-79.564827,65,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=BRAD,,
00027,Keele St At Station Rd,43.920322,-79.526077,62,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=KGGO,,
00028,Rutherford GO At Rutherford Rd,43.838425,-79.499168,61,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=RUGO,,
00029,York University GO Bus Terminal At York B,43.773064,-79.500931,19,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=YRKU,,
00030,Keele St At Burton Grove,43.920834,-79.525978,62,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=KGGO,,
00031,Whitby GO Station At Brock St,43.865009,-78.937614,93,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=WHGO,,
00032,Brock St At Dundas St,43.879681,-78.942032,93,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=12MA,,
00033,Winchester Rd At Watford St,43.956684,-78.946922,51,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=BRKL,,
00034,Baldwin St At Myrtle Rd,44.009201,-78.966003,51,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=MYRT,,
00035,Curts St At Water St,44.102104,-78.938919,52,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=PORT,,
00036,Reach St At Old Simcoe Rd,44.110977,-78.957649,52,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=REAC,,
00037,Hwy 12 At Cragg Rd,44.151802,-79.014603,53,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=BANK,,
00038,Albert St At River St,44.262615,-79.066223,54,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=SUND,,
00043,Simcoe St At Mara Rd,44.429756,-79.154572,55,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=BEAV,,
00044,Cameron St At Ann St,44.349583,-79.040268,54,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=CANN,,
00045,Albert St At River St,44.262482,-79.066391,54,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=SUND,,
00046,Hwy 12 At Cragg Rd,44.152035,-79.015099,53,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=BANK,,
00047,Reach St At Old Simcoe Rd,44.111076,-78.95771,52,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=REAC,,
00049,Baldwin St At Myrtle Rd,44.009212,-78.966187,51,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=MYRT,,
00050,Winchester Rd At Anderson St,43.956413,-78.947403,51,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=BRKL,,
00051,Brock St At Dundas St,43.879929,-78.942314,93,http://www.gotransit.com/publicroot/en/travelling/stations.aspx?station=12MA,,
